gene	probe	Basal_TNBC_avg	LumA_TNBC_Avg	LumB_TNBC_Avg
KRT17	ENSG00000128422.14	6.158600776	6.147160521	3.440325128
TBC1D27	ENSG00000128438.9	0.112287072	0.03768206	0.057207778
EMC4	ENSG00000128463.11	3.987460755	4.156328821	3.847441231
RNF112	ENSG00000128482.14	0.273164243	0.292887998	0.077181568
SPECC1	ENSG00000128487.15	1.745645319	1.512387234	1.267392052
CPA4	ENSG00000128510.9	1.681299242	1.52776291	0.168104279
DOCK4	ENSG00000128512.18	1.509390298	2.02282143	1.361930519
POT1	ENSG00000128513.13	2.553081741	2.772903317	2.479612871
TAS2R16	ENSG00000128519.3	0	0	0
ATP6V1F	ENSG00000128524.4	6.991803986	6.509734654	6.235201072
LSM8	ENSG00000128534.6	2.589073031	2.833048564	2.191862903
CDHR3	ENSG00000128536.14	0.393024234	0.423334748	0.537762905
PRKRIP1	ENSG00000128563.12	3.048270973	3.373465135	2.728378718
VGF	ENSG00000128564.6	0.755366557	0.026339225	1.275253156
PODXL	ENSG00000128567.15	4.633319629	5.196688823	4.214196587
FOXP2	ENSG00000128573.21	0.269291233	0.316787708	0.102218363
STRIP2	ENSG00000128578.8	0.626417727	0.527536659	0.36568381
IFT22	ENSG00000128581.14	2.672992015	3.315031878	2.977529213
MKLN1	ENSG00000128585.16	2.158885372	2.444315717	2.255720313
DNAJB9	ENSG00000128590.4	3.576563947	4.424685634	4.329777506
FLNC	ENSG00000128591.14	1.045197667	1.765858535	1.157471863
LRRC4	ENSG00000128594.6	0.724973029	0.745906956	0.813692359
CALU	ENSG00000128595.15	6.459419462	5.544179734	5.49067095
CCDC136	ENSG00000128596.15	0.43563783	0.72949566	0.544173614
SMO	ENSG00000128602.8	3.650699087	2.871208101	2.523165838
IRF5	ENSG00000128604.17	2.123871148	1.626123903	1.734309279
LRRC17	ENSG00000128606.11	1.113101568	2.829029653	1.479435579
KLHDC10	ENSG00000128607.12	3.597536346	3.908700209	3.402432704
NDUFA5	ENSG00000128609.13	2.7985518	3.962098196	2.91861697
FEZF1	ENSG00000128610.10	0.104961751	0.01369932	0.016381521
OPN1SW	ENSG00000128617.2	1.867848106	1.758519009	1.404592632
MRPS12	ENSG00000128626.10	4.240116865	3.210166451	3.814572883
MYO1B	ENSG00000128641.16	3.34510631	3.998749197	3.616078892
HOXD1	ENSG00000128645.12	0.131634563	0.345381854	0.42736801
HOXD3	ENSG00000128652.10	0.115781169	0.419693728	0.195375109
MTX2	ENSG00000128654.12	4.368248616	4.251120532	4.545281512
PDE11A	ENSG00000128655.15	0.138728453	0.338920486	0.0812764
CHN1	ENSG00000128656.12	2.053894407	2.386599665	2.419250243
GAD1	ENSG00000128683.12	0.127935926	0.153768941	0.014460024
EIF2S2P4	ENSG00000128692.8	0.379456895	0.298408277	0.294770147
OSGEPL1	ENSG00000128694.10	1.683071277	2.285581226	1.803829724
ORMDL1	ENSG00000128699.12	3.399432715	3.508703979	3.499139967
HAT1	ENSG00000128708.11	3.15472949	3.454830307	3.530711349
HOXD9	ENSG00000128709.11	1.418705056	2.684794139	1.774751577
HOXD10	ENSG00000128710.5	0.488832662	1.163789362	0.53095406
HOXD11	ENSG00000128713.12	0.190633676	0.082130577	0.076777136
HOXD13	ENSG00000128714.5	0.582399566	0.285296747	0.063702514
HERC2	ENSG00000128731.14	2.117488157	2.26492009	2.356645528
SNRPN	ENSG00000128739.19	3.159885697	4.401928521	3.528051452
PSMG2	ENSG00000128789.19	4.310909818	4.320266664	3.893925317
TWSG1	ENSG00000128791.10	3.390473467	4.295357802	3.623988014
ARHGAP22	ENSG00000128805.13	1.357068032	0.652897152	0.440997239
WDFY4	ENSG00000128815.16	0.995424535	0.727366666	1.187871479
EIF2AK4	ENSG00000128829.10	2.753371402	2.968374979	2.760660418
MYO5C	ENSG00000128833.11	1.867632608	3.377895848	2.914839096
CGNL1	ENSG00000128849.10	2.012986315	2.849064555	1.861757797
TMOD2	ENSG00000128872.8	1.560267528	1.835974102	1.615166189
TTBK2	ENSG00000128881.15	0.938493511	1.619816349	1.17757699
ELL3	ENSG00000128886.10	0.737277483	0.606904969	0.594135408
C15orf57	ENSG00000128891.14	1.0830344	1.709332909	1.312337487
INO80	ENSG00000128908.14	2.619830736	3.098700535	3.128650042
ICE2	ENSG00000128915.10	1.687272677	2.447383006	1.984872363
DLL4	ENSG00000128917.6	1.632949287	2.752516826	1.790827971
ALDH1A2	ENSG00000128918.13	0.264641233	1.355541261	0.365361386
FAM63B	ENSG00000128923.9	1.732922642	2.949993911	2.166613501
IVD	ENSG00000128928.7	2.79089498	4.181819099	3.832409841
KNSTRN	ENSG00000128944.12	3.146710938	2.115366021	2.922101443
DUT	ENSG00000128951.12	3.800294592	4.080991504	4.032931109
CHAC1	ENSG00000128965.10	1.863350775	1.006247945	1.012868683
CLN6	ENSG00000128973.10	3.96881778	3.29317573	4.2222267
ARPP19	ENSG00000128989.9	4.339650904	4.788153976	5.079730785
VPS13C	ENSG00000129003.14	1.811859161	2.611373591	2.490677022
CALML4	ENSG00000129007.13	0.752280263	0.57999866	0.884794952
ISLR	ENSG00000129009.11	5.147752147	5.724478063	4.976635481
THAP10	ENSG00000129028.7	1.086678462	1.467881788	1.449366721
LOXL1	ENSG00000129038.14	3.175540646	3.157167833	3.089937697
ACKR4	ENSG00000129048.6	0.638037989	1.037594286	0.631394264
ANAPC13	ENSG00000129055.11	4.361827771	4.916998713	4.284099222
MBD4	ENSG00000129071.8	3.977134131	4.062209817	3.531421467
COPB1	ENSG00000129083.11	5.050771583	5.678695422	5.040194135
PSMA1	ENSG00000129084.16	4.50084156	4.510090926	4.227558021
SUMF2	ENSG00000129103.16	5.109647572	5.37755119	5.118284759
PALLD	ENSG00000129116.16	4.256004653	5.243912737	4.608219895
SPCS3	ENSG00000129128.11	4.067405891	4.747998942	4.622135433
BBOX1	ENSG00000129151.7	2.439215462	2.602798368	0.736671676
MYOD1	ENSG00000129152.3	0.02749607	0	0.009295897
SERGEF	ENSG00000129158.9	2.281166093	2.800482074	2.050997299
KCNC1	ENSG00000129159.6	0.067851841	0.029353177	0.885957659
TPH1	ENSG00000129167.8	0.166763964	0.24545244	0.247976939
CSRP3	ENSG00000129170.7	0.01682652	0	0
E2F8	ENSG00000129173.11	1.821041075	1.192657187	2.300819914
DCTD	ENSG00000129187.13	4.26374867	4.79643718	4.158010028
SOX15	ENSG00000129194.6	1.099775855	1.354481576	0.29145487
FAM64A	ENSG00000129195.14	2.813029409	0.708152378	2.49353068
RPAIN	ENSG00000129197.13	2.085146364	2.218825955	2.225955581
USP6	ENSG00000129204.15	0.165248676	0.265335008	0.113730607
SHBG	ENSG00000129214.13	0.161187211	0.112136004	0.062690511
PLD2	ENSG00000129219.12	3.134906087	3.471365654	2.612133364
AIPL1	ENSG00000129221.13	0.023914335	0	0.015854068
CD68	ENSG00000129226.12	0.713455241	0.31129663	0.703371514
TXNDC17	ENSG00000129235.9	3.370887318	2.979837297	3.216423091
ATP1B2	ENSG00000129244.7	0.65250484	2.299817829	0.549564799
FXR2	ENSG00000129245.10	3.475324764	3.131575354	3.720258684
KIF1C	ENSG00000129250.10	4.296855589	3.9181172	3.191746504
MPDU1	ENSG00000129255.13	3.882707269	4.096350352	3.960425358
PHF20L1	ENSG00000129292.19	2.22026419	1.967236681	2.615395067
LRRC6	ENSG00000129295.7	1.155256189	2.097861628	2.407060246
CCNT1	ENSG00000129315.8	2.567405219	3.203797071	3.671541238
PUS7L	ENSG00000129317.13	1.420326786	1.723344403	1.900019667
KRI1	ENSG00000129347.18	3.473887519	2.927182137	3.762983626
ILF3	ENSG00000129351.16	5.080795915	4.425719099	4.985574969
SLC44A2	ENSG00000129353.13	6.043938103	5.888652323	5.826026344
AP1M2	ENSG00000129354.10	5.00127678	5.082531665	4.984438381
CDKN2D	ENSG00000129355.6	3.303510042	1.942418194	3.751179264
MTUS1	ENSG00000129422.12	2.295964319	4.159506409	2.783652609
KLK14	ENSG00000129437.8	1.639830091	1.247864978	0.378999802
SIGLEC9	ENSG00000129450.7	1.213422209	0.677226075	1.207592225
KLK10	ENSG00000129451.10	2.698213968	1.867328686	0.16888507
KLK8	ENSG00000129455.14	1.69749068	1.488961231	0.015967319
NGDN	ENSG00000129460.14	2.873435334	3.164546746	3.071010461
RIPK3	ENSG00000129465.14	1.064210288	1.545626867	1.937057984
ADCY4	ENSG00000129467.12	0.872853729	2.423195397	1.121943531
RAB2B	ENSG00000129472.11	2.752542834	3.33092634	3.268756867
BCL2L2	ENSG00000129473.8	3.356482333	4.252675704	3.723151226
AJUBA	ENSG00000129474.14	2.17516722	3.256240449	1.391800017
DTD2	ENSG00000129480.11	2.499858376	3.130685486	2.20452267
PARP2	ENSG00000129484.12	2.849850914	2.888599292	2.962029013
HEATR5A	ENSG00000129493.13	1.72177791	1.957063925	1.939826199
FOXA1	ENSG00000129514.5	1.399289345	6.481642815	6.275163223
SNX6	ENSG00000129515.17	3.97316622	4.416644859	4.104798731
EAPP	ENSG00000129518.7	3.88512628	4.908369728	4.29874248
EGLN3	ENSG00000129521.12	2.072552035	2.70615745	2.073489799
MIS18BP1	ENSG00000129534.12	2.510955891	2.798845015	2.772148691
NRL	ENSG00000129535.11	0.483849803	0.741563181	0.572922527
RNASE1	ENSG00000129538.12	6.200701233	6.404595378	6.388255131
NEDD8	ENSG00000129559.11	3.938391811	4.002292156	3.883884627
DAD1	ENSG00000129562.9	7.123839499	7.454060323	7.10309683
TEP1	ENSG00000129566.11	2.0539225	2.651673365	2.313772772
EPB41L4A	ENSG00000129595.11	0.640632016	1.836941859	1.550924835
CDO1	ENSG00000129596.4	1.085304228	2.696498924	0.859342502
REEP5	ENSG00000129625.11	4.895954278	6.856353755	6.164478752
ITFG1	ENSG00000129636.11	2.937618186	3.496915864	4.225561026
QRICH2	ENSG00000129646.12	1.363705407	0.91658302	0.972842176
FOXJ1	ENSG00000129654.7	0.527695063	0.049525156	1.868885929
SEC14L1	ENSG00000129657.13	3.060950875	3.272332744	3.453128666
RHBDF2	ENSG00000129667.11	3.184114577	1.83739414	2.978843323
AANAT	ENSG00000129673.8	0.168563809	0.00537613	0.105390131
ARHGEF6	ENSG00000129675.14	2.835856435	3.410987759	3.355945977
MAP7D3	ENSG00000129680.14	1.786456729	1.798320391	1.173548189
FGF13	ENSG00000129682.12	0.870958628	1.141037172	0.537303045
ASH2L	ENSG00000129691.14	3.461521789	3.609794355	3.11587765
TTI2	ENSG00000129696.11	1.893082003	2.197652938	1.533726144
ART1	ENSG00000129744.2	0.028082526	0.288320557	0.008872808
CHRNA10	ENSG00000129749.3	0.366356241	0.505965409	0.252670899
CDKN1C	ENSG00000129757.11	2.604825143	3.634395907	2.296020832
SGOL1	ENSG00000129810.13	1.937680364	0.666071456	2.352829134
TTTY1B	ENSG00000129816.5	0	0	0
RPS4Y1	ENSG00000129824.14	0.030508383	0	0
TTTY1	ENSG00000129845.5	0	0	0
VCY1B	ENSG00000129862.6	0.000605854	0	0
VCY	ENSG00000129864.6	0.001187054	0	0
CDY2B	ENSG00000129873.6	0	0	0
CDH15	ENSG00000129910.6	0.156166376	0.054085859	0.050846004
KLF16	ENSG00000129911.7	3.085608302	2.56052331	2.840135393
TMEM8A	ENSG00000129925.9	4.011779673	3.560200431	3.637150261
DOHH	ENSG00000129932.6	2.640628105	1.819625586	2.598741541
MAU2	ENSG00000129933.19	2.715776859	3.005867936	3.224466866
SHC2	ENSG00000129946.9	1.30790958	2.664468989	1.42761065
LPPR3	ENSG00000129951.17	0.551207677	0.839811887	2.917077203
INS-IGF2	ENSG00000129965.12	0.000549439	0	0
ABHD17A	ENSG00000129968.14	2.352384779	2.411612117	2.108023226
LBP	ENSG00000129988.5	1.597127563	0.713367235	0.968684969
SYT5	ENSG00000129990.13	0.147792129	0.020376293	0.888443392
TNNI3	ENSG00000129991.11	0.3183674	0.493880069	0.041687759
CBFA2T3	ENSG00000129993.13	0.791128304	1.601709836	0.904078025
GAMT	ENSG00000130005.10	2.049668568	3.862844506	3.468867136
HDHD1	ENSG00000130021.12	2.595627452	2.8677531	2.942829434
ERMARD	ENSG00000130023.14	2.12649345	2.834143216	2.465099286
PHF10	ENSG00000130024.13	3.850309574	4.532031228	4.317559194
PRRG3	ENSG00000130032.14	0.354000479	0.573922371	0.131487226
GALNT8	ENSG00000130035.5	0.198666	0.369566655	0.087336403
KCNA5	ENSG00000130037.4	0.230223856	0.78299694	0.243509851
CRACR2A	ENSG00000130038.8	0.573062941	0.981482569	0.461092794
NXNL2	ENSG00000130045.14	0.143638583	1.492893605	0.95900477
STARD8	ENSG00000130052.12	1.210978865	2.113111143	1.478795537
FAM155B	ENSG00000130054.4	0.767728634	0.92733459	1.474458876
GDPD2	ENSG00000130055.12	0.330658932	0.090863067	0.102122333
SAT1	ENSG00000130066.15	6.648136981	6.85760836	6.520336498
GNL3L	ENSG00000130119.14	2.760837532	2.640967927	3.25024708
SH3BP4	ENSG00000130147.14	3.449021197	4.487911742	3.866038274
MOSPD2	ENSG00000130150.10	1.949873238	2.310426813	2.179130751
DOCK6	ENSG00000130158.12	1.840312267	2.38902798	1.511568982
ECSIT	ENSG00000130159.12	3.736288948	3.796810503	3.740310669
LDLR	ENSG00000130164.10	2.991329889	2.840097665	3.732972847
ELOF1	ENSG00000130165.9	3.585405709	3.535992108	3.617440566
TSPAN16	ENSG00000130167.12	0.035670926	0.044751912	0.062047807
C19orf80	ENSG00000130173.12	0.079301916	0.597636397	0
PRKCSH	ENSG00000130175.8	6.114249488	5.814620174	5.623008501
CNN1	ENSG00000130176.6	1.972548339	5.546230214	2.308410081
CDC16	ENSG00000130177.13	4.365437221	4.671587664	4.225382688
ZSCAN10	ENSG00000130182.6	0.014844324	0	0
THEM6	ENSG00000130193.7	4.188613684	4.204924351	4.287306896
EXOC3L2	ENSG00000130201.6	1.724890804	2.361047036	1.795896707
PVRL2	ENSG00000130202.8	5.043300895	5.346055151	6.543765555
APOE	ENSG00000130203.8	6.554842477	5.404537241	6.231677901
TOMM40	ENSG00000130204.11	4.780594089	3.238194159	4.469682814
APOC1	ENSG00000130208.8	4.986569156	3.991345216	5.148694651
GADD45G	ENSG00000130222.9	2.184030207	2.725632358	3.086733254
LRCH2	ENSG00000130224.13	0.548306363	1.071762444	0.42778848
DPP6	ENSG00000130226.15	0.09779831	0.226288394	0.004129036
XPO7	ENSG00000130227.15	3.906831163	3.903568689	3.595063576
ACE2	ENSG00000130234.9	0.680985243	0.705355203	0.06952624
FAM98C	ENSG00000130244.11	1.9577639	2.304850438	1.821073148
SAFB2	ENSG00000130254.10	3.127625035	3.094494209	3.350044593
RPL36	ENSG00000130255.11	7.453502216	7.554491484	6.914967068
ATP8B3	ENSG00000130270.15	0.26188852	0.7012325	0.441209347
GDF1	ENSG00000130283.8	0	0	0
NCAN	ENSG00000130287.12	0.658528744	0.022657708	0.013993663
KIF1A	ENSG00000130294.13	1.889473967	0.175884932	1.10300876
GTPBP3	ENSG00000130299.15	2.682190941	2.005082459	2.631952338
PLVAP	ENSG00000130300.7	5.19747976	6.464292714	5.571519398
BST2	ENSG00000130303.11	6.448881124	5.999581994	8.26794631
SLC27A1	ENSG00000130304.15	1.979190116	2.772547695	1.697364542
NSUN5	ENSG00000130305.15	3.287492342	3.112105671	3.101609273
USHBP1	ENSG00000130307.10	0.383565613	1.326175248	0.440119766
COLGALT1	ENSG00000130309.9	5.446413234	4.079430492	5.035993313
DDA1	ENSG00000130311.9	3.56459652	3.110614684	3.112169924
MRPL34	ENSG00000130312.5	4.35963047	4.186997083	3.568747535
PGLS	ENSG00000130313.5	4.239003264	3.861484114	3.646436997
LSM7	ENSG00000130332.13	4.544849404	3.850284975	3.765998273
TULP4	ENSG00000130338.11	2.516338208	2.528995033	3.067043495
SNX9	ENSG00000130340.13	4.021991817	4.635995134	4.645492359
RTN4IP1	ENSG00000130347.11	2.70939286	2.337244218	2.492990245
QRSL1	ENSG00000130348.10	2.820267806	2.621245967	2.726948247
C6orf203	ENSG00000130349.8	3.205764196	3.371661141	3.074566649
RSPH3	ENSG00000130363.10	1.849989258	2.547177388	2.201071294
MAS1	ENSG00000130368.5	0.008025211	0.00835745	0.001710221
ACSBG2	ENSG00000130377.12	0.085304826	0.211668349	0.060527839
MLLT1	ENSG00000130382.8	4.281046351	4.176861636	4.426282457
FUT5	ENSG00000130383.7	0.044226267	0	0
BMP15	ENSG00000130385.5	0.006314814	0	0
MLLT4	ENSG00000130396.19	3.500684316	3.808779721	3.370632789
ACTN4	ENSG00000130402.10	6.841326573	6.435616195	6.275130667
STK33	ENSG00000130413.14	0.254238645	0.115433148	0.042487165
NDUFA10	ENSG00000130414.10	3.279226952	3.529256677	3.125328753
EPO	ENSG00000130427.2	0.197569749	0.130281308	0.221873347
ARPC1B	ENSG00000130429.11	5.433605923	4.252237912	4.867219924
CACNG6	ENSG00000130433.6	0.042821543	1.252566554	0.840069471
ZSWIM6	ENSG00000130449.5	1.805964122	2.284823818	2.573350879
FCHO1	ENSG00000130475.13	1.256046984	1.069332698	0.694339688
UNC13A	ENSG00000130477.13	0.222240766	0.078304446	1.766773319
MAP1S	ENSG00000130479.9	3.350792408	2.951487404	3.135961318
KLHDC7B	ENSG00000130487.5	2.667161955	1.283723723	1.379559152
SCO2	ENSG00000130489.11	3.936830871	3.451591632	3.955753004
PXDN	ENSG00000130508.9	4.323585269	3.241156764	3.411374694
SSBP4	ENSG00000130511.14	3.375083624	3.521131696	3.752958981
GDF15	ENSG00000130513.6	1.087736265	2.373414194	2.009997482
PGPEP1	ENSG00000130517.12	1.742340291	2.543415884	2.469864581
KIAA1683	ENSG00000130518.15	0.350680183	1.196885697	0.859290099
LSM4	ENSG00000130520.9	5.335014314	4.336219965	4.918919349
JUND	ENSG00000130522.5	5.870542094	6.278596219	6.236764879
HRC	ENSG00000130528.10	0.217595585	1.222665837	0.322154601
TRPM4	ENSG00000130529.14	2.413382364	3.030463851	2.539074561
OR11H1	ENSG00000130538.4	0	0	0
SULT4A1	ENSG00000130540.12	0.932356189	0.364626464	1.589337312
ZNF557	ENSG00000130544.10	1.478387745	1.94347452	1.766177622
CRB3	ENSG00000130545.14	2.943269244	2.975801417	3.181839452
OLFM1	ENSG00000130558.17	1.091159303	2.446027401	3.518387007
CAMSAP1	ENSG00000130559.17	2.734539837	2.50578794	2.970208635
UBAC1	ENSG00000130560.7	3.86483119	3.710345675	3.400242153
SAG	ENSG00000130561.15	0.003753204	0.052060018	0.011592235
ZBTB46	ENSG00000130584.9	1.74319264	2.060808551	1.8808998
HELZ2	ENSG00000130589.15	2.381704285	1.664724556	3.537608936
SAMD10	ENSG00000130590.12	2.557642285	2.39577978	2.175010334
LSP1	ENSG00000130592.12	3.502940193	2.837827096	3.620003591
TNNT3	ENSG00000130595.15	0.395971144	1.116221052	0.650264077
TNNI2	ENSG00000130598.14	1.649352738	1.082515045	0.525776441
H19	ENSG00000130600.14	3.132739483	3.489530013	2.657738032
CYP2G1P	ENSG00000130612.13	0.034514559	0.204600279	0.233114315
COL5A1	ENSG00000130635.14	4.677254076	3.499611307	4.440544861
ATXN10	ENSG00000130638.14	4.537151394	4.640370955	4.900607377
TUBGCP2	ENSG00000130640.12	3.212238812	3.289211716	3.162326125
CALY	ENSG00000130643.7	0.022516837	0.063012118	0.00557648
CYP2E1	ENSG00000130649.8	0.151404581	0.191334083	0.109796883
PNPLA7	ENSG00000130653.14	0.654790347	1.750941745	0.401251853
HBZ	ENSG00000130656.4	0.024057732	0.046799656	0.021979915
PAK4	ENSG00000130669.16	3.647790798	3.769532091	3.987395632
MNX1	ENSG00000130675.13	0.398250996	0.86598643	0.271371721
ZNF337	ENSG00000130684.12	0.807234259	1.038982196	0.995333508
CEP85	ENSG00000130695.12	2.626351484	1.700939263	3.398194758
TAF4	ENSG00000130699.15	1.980949965	1.929115217	2.144196154
GATA5	ENSG00000130700.6	0.219998093	1.037652016	0.808955466
RBBP8NL	ENSG00000130701.3	1.930026133	1.612027262	1.495598666
LAMA5	ENSG00000130702.12	3.014408906	3.344054899	3.084499449
OSBPL2	ENSG00000130703.14	2.60731038	2.781136993	2.6884141
ADRM1	ENSG00000130706.11	5.742677287	4.424139085	5.614119436
ASS1	ENSG00000130707.16	5.565358191	5.624514469	5.047435543
PRDM12	ENSG00000130711.3	0.081866508	0.083051657	0.022469995
EXOSC2	ENSG00000130713.14	2.863090378	2.813841204	3.392742579
POMT1	ENSG00000130714.14	2.452937372	2.751271393	2.941841242
UCK1	ENSG00000130717.11	3.541124072	3.984745282	4.039573086
FIBCD1	ENSG00000130720.11	0.34119484	1.114351922	0.153889888
PRRC2B	ENSG00000130723.16	3.701654123	3.7400435	4.701316445
CHMP2A	ENSG00000130724.7	5.120764728	5.411951079	5.319262219
UBE2M	ENSG00000130725.6	5.066022217	4.720052991	5.304256539
TRIM28	ENSG00000130726.10	6.340659664	6.010326528	6.636699992
C16orf13	ENSG00000130731.14	4.468542286	3.871145708	4.282924726
YIPF2	ENSG00000130733.9	4.666559473	4.461921713	4.19874092
ATG4D	ENSG00000130734.8	2.968793282	2.688111459	3.199148926
EIF2S3	ENSG00000130741.9	6.224631701	6.322374435	6.069141788
TMEM160	ENSG00000130748.6	2.77771162	1.764181733	2.297856562
ZC3H4	ENSG00000130749.8	3.268981792	3.316769229	3.32497216
NPAS1	ENSG00000130751.8	0.315773395	0.446922217	0.413278535
GMFG	ENSG00000130755.11	3.376186391	3.467987757	3.304306034
MAP3K10	ENSG00000130758.6	1.934219382	1.436111777	2.02192572
ARHGEF16	ENSG00000130762.13	1.948863689	2.125397387	2.407030739
LRRC47	ENSG00000130764.8	3.908973272	4.110522388	4.027702242
SESN2	ENSG00000130766.4	2.437462626	2.346584883	2.559522117
SMPDL3B	ENSG00000130768.13	3.267762348	2.115069773	3.366377848
ATPIF1	ENSG00000130770.16	4.810653808	4.610403599	4.791250243
MED18	ENSG00000130772.12	2.863816062	3.012159858	3.606327789
THEMIS2	ENSG00000130775.14	2.955645955	2.018765231	2.655799818
CLIP1	ENSG00000130779.18	2.647956103	2.923921087	2.896640959
CCDC62	ENSG00000130783.12	0.11131533	0.114221326	0.10109418
HIP1R	ENSG00000130787.12	3.084231003	3.132607989	2.22542111
ZNF317	ENSG00000130803.13	3.074519346	3.288495053	3.220413617
PPAN	ENSG00000130810.18	1.921289343	1.063805714	2.003266503
EIF3G	ENSG00000130811.9	5.107418481	5.173192741	4.941520397
ANGPTL6	ENSG00000130812.9	0.329282447	0.135359966	0.161860178
C19orf66	ENSG00000130813.16	2.649571642	2.73865381	2.722699446
DNMT1	ENSG00000130816.13	4.012135264	3.174255904	4.422041407
ZNF426	ENSG00000130818.9	1.991287542	2.599796786	1.463042436
SLC6A8	ENSG00000130821.14	3.846066712	2.667546106	3.502686091
PNCK	ENSG00000130822.14	0.366301437	0.426409209	0.338441423
DKC1	ENSG00000130826.14	5.082707001	3.978499148	4.854745548
PLXNA3	ENSG00000130827.6	2.686594646	2.436025291	3.070687346
DUSP9	ENSG00000130829.16	1.276967975	0.42791045	0.163953124
MPP1	ENSG00000130830.13	2.277800382	2.098464123	2.230332638
ZNF331	ENSG00000130844.15	1.770607569	2.490284331	2.121132746
ZNF236	ENSG00000130856.14	1.445237528	1.64707464	2.262621295
SLC7A10	ENSG00000130876.10	0.422820477	0.370836779	0.203729722
LRP3	ENSG00000130881.12	3.141617886	3.136414795	3.109438536
C12orf65	ENSG00000130921.6	2.318616603	2.384691583	1.632945415
NOL11	ENSG00000130935.8	4.05890498	3.699835876	4.160954159
UBE4B	ENSG00000130939.17	3.148082374	3.011379985	3.238869817
CASZ1	ENSG00000130940.13	1.464588445	2.237042325	2.534875325
PKDREJ	ENSG00000130943.6	0.170639212	0.126818639	0.044543298
HSD17B3	ENSG00000130948.8	0.206553203	0.190703507	0.252881298
NUTM2F	ENSG00000130950.12	0.009663572	0.022711144	0.01518094
HABP4	ENSG00000130956.12	1.980741173	2.327013768	1.858402896
FBP2	ENSG00000130957.4	0.175428397	0.141425573	0.071799547
SLC35D2	ENSG00000130958.10	3.181017441	3.337533309	3.427024507
PRRG1	ENSG00000130962.16	1.727226887	1.799557651	1.11772707
UBA1	ENSG00000130985.15	6.175116867	5.680787889	5.67686757
RGN	ENSG00000130988.11	0.962117145	1.435222425	0.122416718
POLN	ENSG00000130997.15	0.213981945	0.378323172	0.184441407
TXLNGY	ENSG00000131002.10	0.001508268	0	0.001479562
TTTY9B	ENSG00000131007.8	0.00031311	0	0
PPIL4	ENSG00000131013.3	3.681291713	4.097317972	4.099775423
ULBP2	ENSG00000131015.4	1.468566936	0.315781864	1.80731432
AKAP12	ENSG00000131016.15	1.510318493	3.010361253	2.798135507
SYNE1	ENSG00000131018.21	0.869045872	1.566423294	1.12720705
ULBP3	ENSG00000131019.9	1.251053237	0.350924085	1.179648632
LATS1	ENSG00000131023.11	2.416677881	3.16387997	3.468742575
EPS8L1	ENSG00000131037.13	2.012672478	2.874166345	1.763050889
LILRB2	ENSG00000131042.12	1.679532146	1.019187518	1.984544996
AAR2	ENSG00000131043.10	4.269846122	4.407190849	4.606043209
TTLL9	ENSG00000131044.15	0.097411634	0.202213038	0.446407193
BPIFA2	ENSG00000131050.9	0.030732226	0.11987935	0.039088522
RBM39	ENSG00000131051.19	4.451252028	5.153329853	5.106150119
COX4I2	ENSG00000131055.4	1.313897444	2.59173995	1.244769679
BPIFA3	ENSG00000131059.10	0.001654216	0	0
ZNF341	ENSG00000131061.12	1.448874653	1.497072145	1.534148447
GGT7	ENSG00000131067.15	2.610318263	2.891285165	3.598578809
DEFB118	ENSG00000131068.3	0.008950114	0.020994469	0
ACSS2	ENSG00000131069.18	3.08349448	3.423828871	3.434979095
EDA2R	ENSG00000131080.13	0.604221268	1.739801773	0.979542368
ARHGEF9	ENSG00000131089.12	2.847026111	2.479756177	1.671957479
C1QL1	ENSG00000131094.3	1.036948769	0.995945482	1.044102964
GFAP	ENSG00000131095.10	0.193510388	0.487954676	0.076761466
PYY	ENSG00000131096.9	0.116396601	0.07982834	0.622412573
HIGD1B	ENSG00000131097.5	0.91069736	1.818254924	0.864334076
ATP6V1E1	ENSG00000131100.11	5.020298138	5.378043765	5.217702386
ZNF227	ENSG00000131115.14	1.814003798	2.31216944	2.323791553
ZNF428	ENSG00000131116.10	3.897896159	3.302281234	3.746887654
TEX101	ENSG00000131126.17	0.095916637	0.052269353	0.108651442
ZNF141	ENSG00000131127.12	0.981154228	1.644262344	1.740618236
CCL25	ENSG00000131142.12	0.314020667	0.106182694	0.09560148
COX4I1	ENSG00000131143.7	5.692841787	5.465557248	4.785135764
EMC8	ENSG00000131148.7	3.211659314	2.623484045	2.519506148
GSE1	ENSG00000131149.16	3.091265304	3.78041107	3.806225208
RP11-178L8.4	ENSG00000131152.4	0.101256621	0.037819227	0.098975883
GINS2	ENSG00000131153.7	2.975919344	1.731092717	3.124045836
CHMP1A	ENSG00000131165.13	5.242839547	4.474305904	4.941097361
SH3BGRL	ENSG00000131171.11	5.537677761	6.770757704	8.597819624
COX7B	ENSG00000131174.4	4.943146853	4.909219821	4.62410663
SLC34A1	ENSG00000131183.9	0.030715921	0.023109902	0.003710962
F12	ENSG00000131187.8	1.806263651	1.304510593	1.530058841
PRR7	ENSG00000131188.10	1.973964987	0.870685976	1.03225027
NFATC1	ENSG00000131196.16	2.04648251	1.840187368	2.242012817
IDO1	ENSG00000131203.11	2.942050776	0.66288172	2.576183997
GJA9	ENSG00000131233.9	0.041406152	0.023490663	0.035052349
CAP1	ENSG00000131236.15	6.70109416	6.638675996	6.669222227
PPT1	ENSG00000131238.15	6.031964708	6.641378519	6.205014415
