gene	transcript	KMS11_EXP	MM1S_EXP	RPMI_EXP
H3F3C	H3F3C	3.261795561	3.030007594	2.132461686
TCN2	TCN2	9.671201361	10.82538814	10.65875596
SCXA	SCXA	2.268602069	3.180173328	0
ATPIF1	ATPIF1	11.25047016	11.47601201	11.41536151
VIMP	VIMP	11.69750626	11.23075301	10.71890099
ZNF137P	ZNF137P	6.308894156	5.844212387	4.41331651
FKBP5	FKBP5	12.51329828	11.79583674	12.03392194
ZFYVE20	ZFYVE20	9.257317121	10.11669484	9.956856734
ABCB6	ABCB6	9.992442723	9.266008775	7.512882652
LOC100272216	LOC100272216	2.268602069	2.196629075	1.089647294
NEFH	NEFH	2.268602069	2.196629075	1.089647294
UCN	UCN	2.268602069	2.196629075	1.089647294
ELK3	ELK3	11.00987759	10.46375935	9.764418812
C1orf122	C1orf122	7.912218716	8.934663924	9.062442858
STT3A	STT3A	13.36283422	13.78064229	13.98279754
IL18R1	IL18R1	4.520843366	6.351232551	0
GOLGA6L5	GOLGA6L5	5.144331943	5.517304043	5.629744201
ECHS1	ECHS1	10.66608195	10.19266269	9.63119161
RRP12	RRP12	11.42240122	11.18095964	10.97080334
ZNF770	ZNF770	12.2074201	11.87574935	11.56468778
METTL13	METTL13	9.99918262	10.85010868	11.06877828
RNASE4	RNASE4	5.96658274	6.958274299	6.905772073
RCAN2	RCAN2	2.529371205	3.554858948	0
TRIOBP	TRIOBP	9.476152805	9.807551347	9.722647033
USP35	USP35	6.308894156	7.318271643	7.372603915
ANP32A	ANP32A	13.64308955	12.6780675	13.0084934
CDK12	CDK12	12.31160642	11.99771933	11.70780343
ZNF710	ZNF710	10.14618679	9.674672498	9.092569526
TMEM167B	TMEM167B	9.346757486	9.685703673	9.842727469
ZNF71	ZNF71	7.747112101	7.486296047	7.217191934
LRRC28	LRRC28	8.045841553	7.073520355	7.436428388
MCM3	MCM3	13.04694152	13.57959879	13.44577791
NDUFAF3	NDUFAF3	9.624863066	10.61236171	10.8141899
OTUD7B	OTUD7B	10.59929919	9.87380551	8.397499232
C15orf39	C15orf39	10.78949289	11.7273419	11.96679021
BAZ2B	BAZ2B	8.966583316	9.961987891	10.14111087
RPRD1B	RPRD1B	11.14128972	10.26693877	10.57160097
TMEM175	TMEM175	7.351283796	7.761152275	7.914743893
UNC50	UNC50	9.046894808	9.547432477	9.736070395
ALG1	ALG1	9.415519961	10.09945302	10.30969234
SRP19	SRP19	10.03900127	10.59412862	10.46277831
USP27X	USP27X	6.606126826	6.129146985	4.690461795
POLR2K	POLR2K	11.48908026	10.2156786	10.68469603
SPHK2	SPHK2	9.34462658	8.687452672	7.195150711
ALDH16A1	ALDH16A1	10.41184991	10.00287126	9.542302553
KIF15	KIF15	10.42693562	10.90034608	10.78312102
TSC22D2	TSC22D2	9.388454334	9.591664459	9.703253003
PGM2L1	PGM2L1	8.098174239	7.521898762	6.125593247
SFPQ	SFPQ	13.73312127	13.45321918	13.53938906
HYPK	HYPK	10.76092781	10.20526787	9.442906184
MRPL9	MRPL9	11.90776947	11.3812996	10.741863
ROCK1	ROCK1	12.95886986	12.30285308	11.41774705
ZNF408	ZNF408	7.449107366	8.007088955	7.887506993
PPP1R13B	PPP1R13B	7.714698865	7.277194395	6.615102851
METTL6	METTL6	8.321251673	8.93993764	8.80662695
RUSC2	RUSC2	6.23767652	6.761843731	1.703291215
C17orf89	C17orf89	9.978853435	9.739620301	9.518088555
MAGEE1	MAGEE1	6.308894156	6.854120356	1.703291215
LSM12	LSM12	11.97059126	11.38323448	11.57699444
SFI1	SFI1	9.082896813	9.564604906	9.753144863
TPD52	TPD52	12.49265687	12.99072978	13.21653974
PNN	PNN	12.10359599	11.75191222	11.40399728
PTPN3	PTPN3	9.621363263	9.031712229	5.814617071
PPIH	PPIH	9.906077348	10.16140906	10.29672123
LOC253039	LOC253039	8.812758118	10.05241861	10.18231986
SBF1	SBF1	12.80012335	12.50984674	12.24412892
C16orf59	C16orf59	7.834180269	8.535489237	8.397499232
SYNJ2BP	SYNJ2BP	8.701372313	9.456995014	9.305608069
CNIH4	CNIH4	9.856427085	9.053771153	9.336149468
T	T	6.779115233	0	3.969638629
CPNE6	CPNE6	0.966902921	0	3.325635382
LILRA5	LILRA5	0.966902921	0	3.325635382
MUC12	MUC12	0.966902921	0	3.325635382
INTS5	INTS5	10.00320868	10.56876368	10.78312102
SETD9	SETD9	6.23767652	7.200172785	7.270874625
NSL1	NSL1	10.86970179	10.65707724	10.46853241
LAMP3	LAMP3	6.779115233	7.986848911	7.948081001
SARS2	SARS2	9.16915586	8.690584711	8.01252398
SSH2	SSH2	11.12904469	10.72509354	10.27980788
P4HB	P4HB	14.69764635	14.88330674	14.99770434
RGS2	RGS2	9.944322605	9.462031863	5.455235148
GSK3A	GSK3A	11.45808359	10.87027994	10.05039286
MAPK13	MAPK13	9.753283616	11.52244912	11.48061351
VANGL1	VANGL1	9.090496205	10.35149141	10.49245409
C1orf226	C1orf226	8.241582809	8.482263441	2.95778462
URI1	URI1	11.76514518	11.2663532	10.66277517
PPM1F	PPM1F	9.23005407	8.616769366	7.372603915
RAB4A	RAB4A	10.8003418	10.23297248	9.416947383
GGTLC2	GGTLC2	7.647602329	7.310149227	7.420894994
RPS20	RPS20	13.11480947	13.99199121	13.79241412
COX7A2	COX7A2	11.64557738	11.93472657	12.09211955
LMBRD1	LMBRD1	9.775453905	10.94299825	11.1354143
VPS8	VPS8	10.10675921	10.58989454	10.46968251
PUSL1	PUSL1	7.983136126	8.453052464	8.628904796
DENND1C	DENND1C	9.529307559	8.971181398	5.69403884
TXNDC16	TXNDC16	9.767575352	10.36625664	10.58437065
CHP1	CHP1	12.0966921	11.56999323	10.91541633
LINC00641	LINC00641	9.082896813	7.090631167	7.934840812
ATP5E	ATP5E	12.76801887	12.16336979	12.36361188
CRY1	CRY1	10.07264178	9.61822397	9.037879106
SEC61G	SEC61G	11.66436728	11.8207095	11.91756975
FAM127A	FAM127A	8.661111811	8.051616808	6.215952279
GLB1	GLB1	10.14131527	11.49225379	11.6668409
ZMIZ1	ZMIZ1	12.81491687	11.9423019	9.963393201
AAMDC	AAMDC	5.978461076	6.458017741	6.598400939
FRY	FRY	7.688236319	7.164575119	5.168910751
WDR24	WDR24	7.983136126	8.98909926	9.139500192
COQ10B	COQ10B	9.827919032	9.579887245	9.338665082
TRIM32	TRIM32	9.593109093	9.280626957	8.945159952
AHRR	AHRR	8.76293343	4.098310065	6.511951851
CLTA	CLTA	11.95228988	11.45544025	10.84813779
POLR2I	POLR2I	9.467259099	9.118961831	8.720500791
TMEM170B	TMEM170B	9.558824382	8.96860344	7.887506993
CAPZA1	CAPZA1	11.81492688	12.6417131	12.91906443
COPZ1	COPZ1	12.46027414	12.1107606	12.22215189
C5orf30	C5orf30	9.161963241	10.09558163	10.30446541
SHISA5	SHISA5	10.18693133	11.59193836	11.76364395
IFT52	IFT52	9.35308947	9.482053646	9.445242513
SKIV2L2	SKIV2L2	12.75583479	12.28217625	11.7309286
TCTA	TCTA	8.756546315	10.34851793	10.38457872
HAUS2	HAUS2	11.90315128	11.15907663	9.724571833
PEX19	PEX19	11.82217246	11.48054283	11.12378516
SDAD1	SDAD1	11.77814696	11.45129355	11.11427592
AKIRIN1	AKIRIN1	11.53667947	11.30875426	11.38037989
C21orf59	C21orf59	11.79994129	11.43830845	11.05047449
ARIH2OS	ARIH2OS	4.106758689	4.492135196	4.415204301
MAP2K2	MAP2K2	11.32537292	11.08959613	10.8665603
KIAA0754	KIAA0754	7.181410701	8.113606744	8.250251038
ZNF430	ZNF430	8.766068365	8.616769366	8.481868034
LRRC47	LRRC47	10.5114463	10.75756502	10.8993116
C2orf68	C2orf68	9.633551091	10.17599857	10.39428047
ADAMTSL3	ADAMTSL3	1.540662153	2.196629075	0
LOC148709	LOC148709	1.540662153	2.196629075	0
SLAMF1	SLAMF1	1.540662153	2.196629075	0
SLC4A9	SLC4A9	1.540662153	2.196629075	0
TUBA3E	TUBA3E	1.540662153	2.196629075	0
ZNF157	ZNF157	1.540662153	2.196629075	0
TFR2	TFR2	1.540662153	0	5.168910751
CDK2	CDK2	11.28399699	11.16697272	11.06877828
DHX34	DHX34	9.940122694	9.573115072	9.139500192
SMARCA5	SMARCA5	13.02463758	12.67035529	12.30425719
FBXO22	FBXO22	9.560650001	9.83572516	9.985656964
PHB2	PHB2	12.23425162	12.84531362	13.11047678
SMU1	SMU1	11.95333072	11.59486575	11.20945337
FRG1	FRG1	9.373996142	8.221480788	8.661428959
UBE2E1	UBE2E1	12.11605799	12.85790521	13.1419714
TRIM47	TRIM47	9.850472847	10.62878271	10.87178206
HNRNPUL1	HNRNPUL1	13.85478074	13.31975678	12.66611968
EYS	EYS	5.634787822	5.488800975	5.339408221
DET1	DET1	7.834180269	8.036926366	7.980665137
LPHN3	LPHN3	1.950065224	0	6.511868065
HBB	HBB	4.024514721	5.751278927	0
DYRK1B	DYRK1B	6.840488412	6.38255832	5.213460049
CCDC64	CCDC64	8.162074052	7.610552431	6.053906338
KGFLP2	KGFLP2	5.634787822	5.337168731	4.868163239
MAPK12	MAPK12	9.164363929	9.715222441	9.581070621
SRRM1	SRRM1	12.16636397	11.9741385	11.79970255
ZNF3	ZNF3	9.619612923	10.29254021	10.52817082
ZBTB39	ZBTB39	9.956849475	9.660366773	9.338665082
FGD5-AS1	FGD5-AS1	10.8995684	11.8723055	12.14302919
QPRT	QPRT	3.110550334	0	10.34131867
TCAIM	TCAIM	8.815818761	9.392570731	9.606349688
ARID4B	ARID4B	11.71972678	10.82681063	11.14478568
CSK	CSK	12.27955545	12.64615816	12.54524445
SMIM12	SMIM12	10.16551002	10.38087228	10.31983015
THEM4	THEM4	10.48190032	9.781349877	7.831446597
LY6G5B	LY6G5B	6.816254094	6.487129362	6.004054132
CCT7	CCT7	13.26199058	13.35878854	13.4269854
SPATA5	SPATA5	9.719376841	9.199407336	8.348400634
SAYSD1	SAYSD1	7.07307042	6.663259217	4.41331651
CDK10	CDK10	9.952685926	8.942567286	9.318411752
KLHL7	KLHL7	9.603769124	9.763612414	9.865589458
INTS8	INTS8	12.07361943	10.26378561	10.98372044
BUB1	BUB1	12.46564037	13.39680544	13.18332833
EIF3M	EIF3M	11.61692096	12.24037098	12.08276113
RAPGEF6	RAPGEF6	10.20920965	11.185402	10.98692995
NDUFA3	NDUFA3	9.717741531	9.394492706	9.019179265
TNIP1	TNIP1	11.08851001	11.81390141	11.63955325
MAP3K7CL	MAP3K7CL	6.503606336	6.887257177	2.132461686
NREP	NREP	9.036440143	8.665332364	8.179033258
MOGS	MOGS	10.96096486	11.5856433	11.42959504
FEZF1-AS1	FEZF1-AS1	6.551471413	9.402155102	0
ATAD5	ATAD5	11.274017	10.87510426	10.39549129
GOLGA6L9	GOLGA6L9	7.052459369	6.624481117	4.55853092
PKN1	PKN1	10.52739881	11.469189	11.73671056
TBC1D1	TBC1D1	9.880004357	11.26844843	11.080098
TRPC1	TRPC1	6.103906723	6.07264821	2.731417878
ROCK1P1	ROCK1P1	9.408858314	8.937303192	8.206843432
MCM6	MCM6	11.94950575	13.27193714	13.02869519
NAA20	NAA20	10.67705892	10.95932098	11.12306088
SPATA5L1	SPATA5L1	9.199927493	8.693709966	7.817079586
USP30	USP30	7.661272175	8.217143454	8.411904974
RGS19	RGS19	7.904845329	8.070974231	8.173402311
SAP30	SAP30	9.701292598	9.373206653	8.984250396
PGS1	PGS1	8.781802291	8.905308775	8.987460148
UNKL	UNKL	8.96552169	9.642685328	9.486670133
DBNL	DBNL	10.87558043	11.29493085	11.50936925
JRK	JRK	8.562559172	9.948968716	10.05804586
CYCS	CYCS	14.05997812	13.69930133	13.31614008
ZFP62	ZFP62	8.408953818	9.619867816	9.768156199
MED24	MED24	11.93022358	11.44944789	10.81689565
NDUFB7	NDUFB7	9.862358399	9.59333883	9.300455525
PPAN	PPAN	9.995682367	9.911486367	9.838997449
FANCA	FANCA	11.22562319	10.56458776	9.271778145
CRHR1-IT1	CRHR1-IT1	6.1627619	5.866542067	5.417650017
DHDDS	DHDDS	10.25500496	9.976177444	10.06717887
ZSCAN18	ZSCAN18	8.268630887	0.922972661	5.168910751
DCTN2	DCTN2	11.85079239	11.37498511	11.53482811
CEP290	CEP290	10.09943987	9.786045772	9.889309259
LOC338817	LOC338817	3.398678716	3.316171815	1.703291215
NIPAL1	NIPAL1	3.398678716	3.316171815	1.703291215
NPB	NPB	3.110683955	0.922972661	2.132728178
SIN3B	SIN3B	10.28070119	9.875182604	9.341176316
IKZF1	IKZF1	11.24139332	12.31482679	12.09137257
PPARD	PPARD	8.214017921	8.556245465	8.728196037
CIC	CIC	11.0238375	10.45180868	9.502463875
CHRAC1	CHRAC1	9.580573269	10.47015044	10.71986793
EEF1E1	EEF1E1	9.939668829	10.58259364	10.83484234
PPP1R3F	PPP1R3F	6.326161597	6.183514304	3.153403271
LOC400657	LOC400657	9.080353872	8.787383487	8.884460556
LSM14A	LSM14A	12.95661755	12.44988116	11.7817859
C4orf33	C4orf33	7.246341576	7.94549651	8.13338885
PTPRK	PTPRK	10.8293977	10.32048468	9.548837318
MRPS31P5	MRPS31P5	7.43325159	7.109475486	6.647934689
CYB561D1	CYB561D1	8.010097261	8.230116532	8.167754317
RBAK	RBAK	9.573359377	9.92217257	10.10904708
SNRNP35	SNRNP35	8.157261028	7.902923747	7.987099123
KRT86	KRT86	9.357294672	0	5.52759273
MNT	MNT	8.157261028	9.186153867	9.36852174
DNAAF3	DNAAF3	1.540662153	0	5.026361874
STXBP2	STXBP2	10.27070413	10.74255365	10.9716154
KIAA0232	KIAA0232	11.57825946	10.91514739	9.62502203
SMAD9	SMAD9	4.979499508	5.016166452	2.132461686
MDH1	MDH1	13.09306593	12.75638119	12.38741693
C1orf53	C1orf53	5.256671032	5.203228569	2.462803581
KLHL26	KLHL26	6.922257325	7.358211623	7.249644437
HDDC2	HDDC2	10.44877709	9.816180481	8.426172486
GTF2I	GTF2I	12.48138069	11.27576951	11.72617983
ELOVL4	ELOVL4	8.026036468	9.946350723	1.089647294
SLC16A1	SLC16A1	11.20743535	12.04559586	12.34268029
TSPAN31	TSPAN31	8.602082689	9.890244514	10.03905612
MST1P2	MST1P2	5.426405662	5.093927733	4.334832822
TK1	TK1	11.04289053	11.78415632	12.07109024
KLK14	KLK14	0.966902921	0	3.153403271
LOC100289388	LOC100289388	0.966902921	0	3.153403271
PADI1	PADI1	0.966902921	0	3.153403271
CLN3	CLN3	9.679622603	10.09085343	9.979610969
RAB3B	RAB3B	10.58322383	9.907844563	8.043710863
LARS2	LARS2	10.08156333	10.7775841	10.60855054
MIPEPP3	MIPEPP3	3.110550334	3.660860181	3.62219242
RBM43	RBM43	6.255814164	5.866542067	4.922844822
ETS1	ETS1	12.4236412	11.62750653	9.159563596
FAM175A	FAM175A	9.012641298	8.861511895	8.712760839
PPP1R12B	PPP1R12B	10.27626401	10.64178082	10.5402443
GATAD2A	GATAD2A	11.703298	11.16190028	11.34764905
11-Sep	11-Sep	13.58385845	12.72139616	10.33377032
NAP1L5	NAP1L5	6.291417537	5.993703795	5.52759273
EARS2	EARS2	10.43192586	10.95411632	11.19979502
BST2	BST2	11.75800663	12.51493345	12.82012709
STYX	STYX	10.07008068	9.823332207	9.553176161
IST1	IST1	11.5961618	11.98661359	12.20639476
C2CD5	C2CD5	10.21501116	11.15000744	10.94626298
SUPT20H	SUPT20H	10.26399682	9.743880133	8.863644258
IQSEC1	IQSEC1	10.92245804	11.97285058	11.75000347
CENPM	CENPM	10.17506296	9.947660313	9.705203835
SLC14A2	SLC14A2	3.937306723	5.70246362	0
ETV3	ETV3	9.666124564	9.261803457	8.685348012
TMBIM4	TMBIM4	11.23911516	10.71896947	9.913632941
SHFM1	SHFM1	11.26844843	11.19866603	11.13758037
PRPF38B	PRPF38B	11.15222779	10.40109284	10.6697886
PLOD2	PLOD2	8.79736323	11.06083776	1.089647294
SMPDL3A	SMPDL3A	7.972210143	7.859056397	3.861816446
PTPN4	PTPN4	9.464502867	10.36429884	10.17106418
PPP1R10	PPP1R10	11.6584168	11.55417632	11.45938039
JAKMIP2	JAKMIP2	9.740457084	10.34056227	10.59283074
FAM149B1	FAM149B1	8.577054887	8.908002245	9.086592719
CUL1	CUL1	13.65914857	13.28714673	12.85898727
PPM1L	PPM1L	8.985725265	8.419467261	6.631612164
NMT1	NMT1	12.69500639	12.23796876	11.63904219
FEM1C	FEM1C	9.367755454	10.88811916	10.72468437
PDXDC2P	PDXDC2P	9.355194704	9.748664165	9.953576633
ENOSF1	ENOSF1	12.46984274	12.02795782	11.45312142
MYH15	MYH15	6.273724745	6.650448648	2.132461686
SEMA4F	SEMA4F	7.299766668	7.981744219	2.132461686
LHX2	LHX2	5.689184523	5.910185792	2.132461686
NDUFB5	NDUFB5	11.36245893	11.90233366	12.16835873
TSTD2	TSTD2	10.29454034	9.841419678	9.156715144
UBE2J2	UBE2J2	10.50007503	10.28983447	10.06868424
PSMC5	PSMC5	12.17800186	12.0001761	11.82549548
ARHGEF11	ARHGEF11	10.8726441	10.27008504	9.077584829
UCKL1-AS1	UCKL1-AS1	6.123792402	5.751278927	4.251840259
C5orf63	C5orf63	6.634127105	7.950730847	7.921472036
STK32C	STK32C	8.824955559	8.30559667	5.952419771
KCNJ12	KCNJ12	1.949971877	0	6.258458623
RACGAP1	RACGAP1	12.56558052	12.09370805	11.44893708
NPM1	NPM1	14.93948739	15.15477065	15.3074641
SLX1B	SLX1B	9.417306128	10.39521279	10.64921126
TBC1D14	TBC1D14	10.54003115	11.07737654	11.33514467
RAPH1	RAPH1	8.824955559	9.938468117	10.14973442
POLR2J4	POLR2J4	8.554715466	8.765053989	8.899193761
DIP2A	DIP2A	10.1179677	10.43042119	10.61687043
RRP36	RRP36	10.99240732	10.54560163	9.896657844
NUP85	NUP85	10.84520776	10.59741944	10.32237887
PES1	PES1	11.96060655	11.5485763	11.68821096
USP42	USP42	9.71282617	10.2489949	10.10757019
POT1	POT1	11.63001679	11.40055394	11.15553295
NFKBIA	NFKBIA	9.286280516	9.051336752	8.780953079
NRM	NRM	9.164363929	9.833285436	10.08825823
PDZD2	PDZD2	4.184558014	4.098310065	2.132461686
ERV3-1	ERV3-1	6.692441147	7.196390655	7.383764763
ZNF415	ZNF415	1.540662153	0	4.922844822
SCAND3	SCAND3	6.503606336	6.366979584	3.325635382
CLCN7	CLCN7	10.47513556	10.94036499	11.18309567
ITGA7	ITGA7	5.715635331	5.430044358	4.922844822
HIVEP1	HIVEP1	10.86601931	10.55422429	10.17528756
PDCD11	PDCD11	12.59058237	12.25816261	11.86661053
HDAC7	HDAC7	12.23682443	11.73190872	10.9796967
TAB3	TAB3	10.54132898	10.63123163	10.70043105
DEPTOR	DEPTOR	11.68710007	13.79699271	13.63844723
SAMD15	SAMD15	3.398678716	3.660860181	1.089647294
KRAS	KRAS	11.99374158	12.38030142	12.61124617
LYRM7	LYRM7	10.29062944	10.90507105	11.17888889
GPR56	GPR56	7.562730873	9.136486209	9.13661181
PIK3C2A	PIK3C2A	10.95543196	11.41766795	11.28901599
ATF6	ATF6	12.62696153	12.45679588	12.28677144
HMG20B	HMG20B	10.59217669	10.31744653	9.994042234
CNOT8	CNOT8	10.01922931	10.80746763	11.0928232
POLR2L	POLR2L	10.29062944	10.60490529	10.79690756
KIAA0930	KIAA0930	10.97472289	11.87058049	12.18488154
POLR1B	POLR1B	11.07580669	11.68870053	11.976514
KLHL8	KLHL8	10.55237131	10.08848351	9.351179979
CFLAR	CFLAR	11.47027248	11.50654065	11.5364755
MRPL23	MRPL23	9.702944918	9.507142506	9.292689738
NAP1L2	NAP1L2	9.633551091	9.485664305	4.811327165
LOC100507462	LOC100507462	5.489077247	3.554858948	4.487750013
RPL8	RPL8	13.47812496	14.75060755	15.13562513
GPR137C	GPR137C	6.103906723	5.973271454	3.153403271
ZNF280B	ZNF280B	7.983136126	7.556643995	5.168910751
TRIM4	TRIM4	9.635284612	10.24367384	10.50707113
SDF2L1	SDF2L1	9.724269973	9.305361824	8.649317262
FAM65B	FAM65B	2.529371205	0	8.025084179
CELF4	CELF4	1.950065224	1.882858215	1.089647294
GBP6	GBP6	1.950065224	1.882858215	1.089647294
IL17RE	IL17RE	1.950065224	1.882858215	1.089647294
PROCA1	PROCA1	1.950065224	1.882858215	1.089647294
COMT	COMT	10.10675921	8.141340821	8.981033486
DCXR	DCXR	9.062434763	10.15120686	10.38701566
CDH23	CDH23	1.9497889	1.882736944	1.089572724
SLMAP	SLMAP	10.79337571	11.0388847	10.96592855
DTX3L	DTX3L	9.031185641	9.685703673	9.94204086
OGFOD3	OGFOD3	8.875681783	9.568014999	9.82309651
TMPO	TMPO	14.68041447	14.24540415	13.69881317
ADRB2	ADRB2	8.756546315	8.485873575	8.139172723
ENDOD1	ENDOD1	8.678022593	10.25429641	10.13388713
ADAMTS19	ADAMTS19	2.750143396	4.020795529	0
ZCCHC4	ZCCHC4	9.031185641	8.639637358	8.018823311
ACD	ACD	8.64054863	9.679411482	9.905170359
FKBPL	FKBPL	7.36805241	7.617151525	7.765654082
COMMD6	COMMD6	9.301640229	9.750165979	9.627081489
DCAKD	DCAKD	8.893168026	9.246987557	9.445242513
SH3BP2	SH3BP2	10.48093154	9.96328337	9.022312324
TIMELESS	TIMELESS	12.55257304	12.28301888	11.97933945
POMZP3	POMZP3	8.226489263	7.870148916	7.302154517
CYTH2	CYTH2	10.39251063	9.983848674	9.378338212
TTC7A	TTC7A	10.28512475	12.04925978	11.87139705
SIVA1	SIVA1	9.29726709	9.129579254	8.948457762
CROCCP2	CROCCP2	8.295181178	9.244858525	9.056339663
GNAI1	GNAI1	8.290788386	9.500019239	9.318414012
ATG4B	ATG4B	10.37498511	9.131885248	9.620892438
ZNF404	ZNF404	4.889434603	5.203228569	5.339408221
RASGRP3	RASGRP3	11.89919074	11.95114262	5.417650017
THAP5	THAP5	10.92387712	11.34697351	11.58866779
BLOC1S3	BLOC1S3	9.236918285	8.841925959	8.212340738
NCALD	NCALD	7.103434694	8.769722159	1.089647294
BSG	BSG	12.59793149	13.45575103	13.23590204
PARP6	PARP6	9.489625218	9.992768431	10.24132777
C9orf40	C9orf40	9.55150256	9.016813858	7.780533206
CEP57	CEP57	10.74443864	11.24946312	11.51549781
ZNF217	ZNF217	13.43175875	12.78889163	11.63136807
MIER2	MIER2	8.691412028	0	5.168910751
CIITA	CIITA	9.689664331	9.186153867	6.300983959
RNF141	RNF141	8.688075426	9.882048426	10.08825823
GNAZ	GNAZ	7.694894118	7.358211623	6.801740688
POR	POR	10.72178277	10.46741196	10.16540952
RFTN2	RFTN2	1.950065224	2.86237799	0
TCEAL6	TCEAL6	1.950065224	2.86237799	0
MRPS24	MRPS24	10.55126606	11.04624412	11.30903859
UPK3BL	UPK3BL	7.242068923	8.740030318	8.755214743
RNF138	RNF138	10.88070083	10.85848616	10.83839244
SLC35F5	SLC35F5	9.576971776	9.942414803	10.15545073
HERPUD1	HERPUD1	13.25637235	13.63571812	13.88041578
SAMHD1	SAMHD1	12.24279898	11.73835408	10.94130442
BZW1	BZW1	13.44898094	13.02556352	12.45854759
RANBP6	RANBP6	11.3883833	10.98058232	10.39428047
GPR75-ASB3	GPR75-ASB3	8.055493943	6.875436055	7.357349661
IPO8	IPO8	12.12780092	11.84726489	11.94176657
PMM1	PMM1	8.506854997	8.880835492	9.086592719
MORC4	MORC4	8.952752894	8.869825149	4.41331651
HRSP12	HRSP12	8.901832306	6.458017741	7.582473208
DHX36	DHX36	11.22652659	12.09459567	12.42844916
NEK1	NEK1	10.22885476	9.784284761	9.044057998
GIN1	GIN1	7.392849748	7.847877929	8.055992761
CCL3L3	CCL3L3	7.602194065	11.17943641	0
PDRG1	PDRG1	9.346757486	8.953038199	8.313014516
ARHGAP11B	ARHGAP11B	9.24828577	8.754837408	7.680936135
DCAF15	DCAF15	9.913236499	9.480246943	8.751045222
EXOSC4	EXOSC4	7.449107366	8.822070461	8.712760839
SLC1A1	SLC1A1	2.750143396	1.48131961	2.132461686
CSRP2	CSRP2	5.489077247	5.203228569	3.618497096
NUS1	NUS1	12.88832468	12.50496047	11.99776519
FURIN	FURIN	10.81188039	10.36722908	9.651571972
UBIAD1	UBIAD1	10.05332859	10.42949043	10.65371391
FAM41C	FAM41C	4.793370509	5.399745323	5.52759273
C9orf3	C9orf3	6.840488412	7.80805034	7.648853676
FAIM	FAIM	8.413001638	8.419467261	3.969638629
SAV1	SAV1	8.214017921	8.690584711	8.561570537
CTSA	CTSA	12.15435928	11.83881392	11.44186522
B9D2	B9D2	6.766515658	6.397968917	4.626006848
CNPPD1	CNPPD1	10.17982203	10.65065687	10.90781453
PTPN7	PTPN7	11.9695628	11.69417504	11.36132425
UBL5	UBL5	11.90423194	11.59736822	11.70195618
RBM42	RBM42	10.81188039	10.29189589	9.297872335
APPBP2	APPBP2	10.60107434	10.89016546	11.08385159
FAM32A	FAM32A	10.75802329	10.9364171	10.88130519
MAGEA6	MAGEA6	2.268602069	0	7.055293283
HSD17B12	HSD17B12	11.96302249	12.54336538	12.38041236
ANAPC15	ANAPC15	10.059723	9.677805954	9.089503447
TRMT10B	TRMT10B	8.088088581	7.864613317	7.573950084
LOC728743	LOC728743	10.10050466	9.895682818	9.655614796
NOMO1	NOMO1	11.72746529	11.54814759	11.60809308
TM9SF3	TM9SF3	13.47775827	13.25246439	12.99977632
C1orf21	C1orf21	11.29280475	10.76427449	7.195150711
XPC	XPC	8.977551834	10.81824663	10.85781775
RPL32	RPL32	13.47812496	14.33082587	14.72616493
HSPA14	HSPA14	11.60237875	11.05901992	10.02873489
MEN1	MEN1	9.516200359	10.23189316	10.52374816
RPUSD3	RPUSD3	8.594977682	9.392570731	9.659644538
ILKAP	ILKAP	10.15467889	9.644303356	8.57443837
CREM	CREM	9.113057114	8.655752522	7.696717206
NAPA	NAPA	11.8492878	11.33548527	10.43365846
ANO6	ANO6	11.90638331	11.75602668	11.59446924
LPHN2	LPHN2	7.162300685	7.919036112	2.132461686
PDE6D	PDE6D	9.603769124	8.177509236	8.766074993
ORC4	ORC4	9.48386615	10.66903563	10.43834484
QSER1	QSER1	11.07708274	11.21507185	11.32562589
NDUFAF5	NDUFAF5	7.480289361	8.35381287	8.173402311
ABTB2	ABTB2	7.694894118	5.167707158	6.381279911
UBE2E2	UBE2E2	9.292882955	9.978739055	10.26533375
EIF4A3	EIF4A3	11.88214245	11.65983093	11.39918178
MRPL42	MRPL42	11.25103261	11.01284798	10.72372066
SKA3	SKA3	10.455656	10.00035218	9.184954664
GPR108	GPR108	9.759653539	11.06868424	10.82947698
H3F3AP4	H3F3AP4	14.74827672	14.44548049	14.54853898
TFCP2	TFCP2	9.483868165	9.058627668	8.271477035
PPP2R5B	PPP2R5B	8.214017921	7.991935605	7.696717206
LOC100506730	LOC100506730	6.393239422	7.200172785	7.043005404
PODXL	PODXL	11.09418988	10.98377744	10.8674332
DHODH	DHODH	8.566198681	8.950427587	9.170903999
ARFGEF1	ARFGEF1	12.12286681	11.55503483	10.44186522
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3	10.23916888	10.66111003	10.91282947
TCIRG1	TCIRG1	9.874146832	11.89182926	11.80789422
MAMDC4	MAMDC4	5.489077247	6.235908917	6.381279911
PGBD2	PGBD2	8.66789922	8.217143454	7.16143425
MTFR2	MTFR2	9.555168116	9.199407336	8.633009733
FAM189A1	FAM189A1	7.441201261	7.217647564	4.251832686
PCDHGB7	PCDHGB7	2.16564186	3.212788761	0
ACTR5	ACTR5	9.22775792	8.844740282	8.179033258
RALB	RALB	9.86679055	10.02414235	9.97475873
TEX264	TEX264	8.999247461	10.19927972	9.976377957
